,Tarih,Yıl,Ay,Alış (Forex),Satış (Forex),Gun,Haftalik_Ortalama,Onceki_Gun_Fiyat
0,2020-12-15,2020,12,7.8331,7.8473,15,7.850585714285714,7.8699
1,2020-12-16,2020,12,7.7873,7.8013,16,7.843442857142857,7.8331
2,2020-12-17,2020,12,7.751,7.765,17,7.8352,7.7873
3,2020-12-18,2020,12,7.6898,7.7036,18,7.816557142857143,7.751
4,2020-12-21,2020,12,7.6769,7.6907,21,7.791842857142856,7.6898
5,2020-12-22,2020,12,7.6368,7.6505,22,7.749257142857142,7.6769
6,2020-12-23,2020,12,7.6321,7.6458,23,7.715285714285714,7.6368
7,2020-12-24,2020,12,7.619,7.6327,24,7.6847,7.6321
8,2020-12-25,2020,12,7.5517,7.5653,25,7.651042857142857,7.619
9,2020-12-28,2020,12,7.4738,7.4873,28,7.6114428571428565,7.5517
10,2020-12-29,2020,12,7.4063,7.4197,29,7.570942857142858,7.4738
11,2020-12-30,2020,12,7.3405,7.3537,30,7.522885714285715,7.4063
12,2020-12-31,2020,12,7.4194,7.4327,31,7.491828571428571,7.3405
13,2021-01-04,2021,1,7.3602,7.3734,4,7.452985714285715,7.4194
14,2021-01-05,2021,1,7.3866,7.3999,5,7.419785714285714,7.3602
15,2021-01-06,2021,1,7.33,7.3432,6,7.388114285714285,7.3866
16,2021-01-07,2021,1,7.2733,7.2864,7,7.359471428571429,7.33
17,2021-01-08,2021,1,7.349,7.3622,8,7.351285714285714,7.2733
18,2021-01-11,2021,1,7.4431,7.4565,11,7.365942857142857,7.349
19,2021-01-12,2021,1,7.4608,7.4743,12,7.371857142857143,7.4431
20,2021-01-13,2021,1,7.4285,7.4419,13,7.381614285714286,7.4608
21,2021-01-14,2021,1,7.3885,7.4018,14,7.381885714285715,7.4285
22,2021-01-15,2021,1,7.3877,7.401,15,7.390128571428571,7.3885
23,2021-01-18,2021,1,7.4952,7.5087,18,7.421828571428571,7.3877
24,2021-01-19,2021,1,7.4485,7.4619,19,7.436042857142858,7.4952
25,2021-01-20,2021,1,7.4367,7.4501,20,7.435128571428571,7.4485
26,2021-01-21,2021,1,7.3836,7.3969,21,7.4241,7.4367
27,2021-01-22,2021,1,7.3985,7.4118,22,7.419814285714286,7.3836
28,2021-01-25,2021,1,7.3797,7.393,25,7.418557142857144,7.3985
29,2021-01-26,2021,1,7.3835,7.3968,26,7.4179571428571425,7.3797
30,2021-01-27,2021,1,7.3544,7.3676,27,7.397842857142857,7.3835
31,2021-01-28,2021,1,7.3723,7.3856,28,7.386957142857143,7.3544
32,2021-01-29,2021,1,7.3216,7.3348,29,7.370514285714286,7.3723
33,2021-02-01,2021,2,7.2185,7.2315,1,7.346928571428571,7.3216
34,2021-02-02,2021,2,7.1372,7.1501,2,7.3096000000000005,7.2185
35,2021-02-03,2021,2,7.1498,7.1627,3,7.276757142857142,7.1372
36,2021-02-04,2021,2,7.1324,7.1453,4,7.240885714285715,7.1498
37,2021-02-05,2021,2,7.0789,7.0917,5,7.201528571428571,7.1324
38,2021-02-08,2021,2,7.0663,7.0791,8,7.157814285714285,7.0789
39,2021-02-09,2021,2,7.0821,7.0949,9,7.123600000000001,7.0663
40,2021-02-10,2021,2,7.0513,7.064,10,7.099714285714286,7.0821
41,2021-02-12,2021,2,7.0162,7.0288,12,7.082428571428571,7.0513
42,2021-02-15,2021,2,6.9724,6.985,15,7.057085714285715,7.0162
43,2021-02-16,2021,2,6.915,6.9275,16,7.026028571428571,6.9724
44,2021-02-17,2021,2,7.004,7.0167,17,7.015328571428571,6.915
45,2021-02-18,2021,2,6.9527,6.9652,18,6.9991,7.004
46,2021-02-19,2021,2,6.9611,6.9736,19,6.981814285714286,6.9527
47,2021-02-22,2021,2,6.994,7.0066,22,6.973628571428572,6.9611
48,2021-02-23,2021,2,7.0253,7.038,23,6.9749285714285705,6.994
49,2021-02-24,2021,2,7.1357,7.1485,24,6.998257142857142,7.0253
50,2021-02-25,2021,2,7.1924,7.2054,25,7.037885714285713,7.1357
51,2021-02-26,2021,2,7.3708,7.3841,26,7.090285714285714,7.1924
52,2021-03-01,2021,3,7.3029,7.316,1,7.140314285714285,7.3708
53,2021-03-02,2021,3,7.3117,7.3248,2,7.1903999999999995,7.3029
54,2021-03-03,2021,3,7.3391,7.3524,3,7.239699999999999,7.3117
55,2021-03-04,2021,3,7.4524,7.4659,4,7.300714285714286,7.3391
56,2021-03-05,2021,3,7.5096,7.5231,5,7.354128571428572,7.4524
57,2021-03-08,2021,3,7.5939,7.6075,8,7.411485714285715,7.5096
58,2021-03-09,2021,3,7.6403,7.654,9,7.449985714285715,7.5939
59,2021-03-10,2021,3,7.5952,7.6088,10,7.4917428571428575,7.6403
60,2021-03-11,2021,3,7.4446,7.4581,11,7.510728571428571,7.5952
61,2021-03-12,2021,3,7.5709,7.5846,12,7.543842857142858,7.4446
62,2021-03-15,2021,3,7.5374,7.551,15,7.555985714285714,7.5709
63,2021-03-16,2021,3,7.5041,7.5176,16,7.5552,7.5374
64,2021-03-17,2021,3,7.498,7.5115,17,7.5415,7.5041
65,2021-03-18,2021,3,7.4573,7.4708,18,7.515357142857143,7.498
66,2021-03-19,2021,3,7.267,7.2801,19,7.468471428571428,7.4573
67,2021-03-22,2021,3,7.904,7.9182,22,7.5341000000000005,7.267
68,2021-03-23,2021,3,7.8082,7.8222,23,7.568,7.904
69,2021-03-24,2021,3,7.9666,7.9809,24,7.629314285714286,7.8082
70,2021-03-25,2021,3,7.9409,7.9552,25,7.691714285714285,7.9666
71,2021-03-26,2021,3,7.9893,8.0037,26,7.7619,7.9409
72,2021-03-29,2021,3,8.1192,8.1338,29,7.856457142857143,7.9893
73,2021-03-30,2021,3,8.326,8.341,30,8.007742857142857,8.1192
74,2021-03-31,2021,3,8.3258,8.3408,31,8.068,8.326
75,2021-04-01,2021,4,8.1707,8.1854,1,8.119785714285713,8.3258
76,2021-04-02,2021,4,8.0362,8.0506,2,8.12972857142857,8.1707
77,2021-04-05,2021,4,8.1394,8.154,5,8.158085714285715,8.0362
78,2021-04-06,2021,4,8.1441,8.1588,6,8.1802,8.1394
79,2021-04-08,2021,4,8.1518,8.1665,8,8.184857142857142,8.1441
80,2021-04-09,2021,4,8.1383,8.153,9,8.158042857142856,8.1518
81,2021-04-12,2021,4,8.1681,8.1828,12,8.135514285714285,8.1383
82,2021-04-13,2021,4,8.1383,8.153,13,8.130885714285714,8.1681
83,2021-04-14,2021,4,8.0729,8.0875,14,8.136128571428571,8.1383
84,2021-04-15,2021,4,8.0567,8.0712,15,8.124314285714286,8.0729
85,2021-04-16,2021,4,8.0574,8.0719,16,8.111928571428573,8.0567
86,2021-04-19,2021,4,8.0514,8.0659,19,8.097585714285714,8.0574
87,2021-04-20,2021,4,8.1011,8.1157,20,8.092271428571427,8.0514
88,2021-04-21,2021,4,8.1433,8.158,21,8.088728571428572,8.1011
89,2021-04-22,2021,4,8.2694,8.2843,22,8.107457142857141,8.1433
90,2021-04-26,2021,4,8.3295,8.3445,26,8.144114285714284,8.2694
91,2021-04-27,2021,4,8.231,8.2458,27,8.169014285714285,8.3295
92,2021-04-28,2021,4,8.186,8.2008,28,8.187385714285714,8.231
93,2021-04-29,2021,4,8.1753,8.19,29,8.205085714285714,8.186
94,2021-04-30,2021,4,8.2311,8.2459,30,8.223657142857144,8.1753
95,2021-05-03,2021,5,8.292,8.3069,3,8.2449,8.2311
96,2021-05-04,2021,5,8.3091,8.3241,4,8.250571428571428,8.292
97,2021-05-05,2021,5,8.34,8.355,5,8.252071428571428,8.3091
98,2021-05-06,2021,5,8.3062,8.3211,6,8.262814285714287,8.34
99,2021-05-07,2021,5,8.273,8.2879,7,8.275242857142858,8.3062
100,2021-05-10,2021,5,8.2457,8.2605,10,8.285300000000001,8.273
101,2021-05-11,2021,5,8.2867,8.3016,11,8.293242857142857,8.2457
102,2021-05-17,2021,5,8.3469,8.3619,17,8.301085714285716,8.2867
103,2021-05-18,2021,5,8.3281,8.3431,18,8.303799999999999,8.3469
104,2021-05-20,2021,5,8.3689,8.384,20,8.30792857142857,8.3281
105,2021-05-21,2021,5,8.3554,8.3705,21,8.314957142857143,8.3689
106,2021-05-24,2021,5,8.3811,8.3962,24,8.3304,8.3554
107,2021-05-25,2021,5,8.3947,8.4098,25,8.351685714285713,8.3811
108,2021-05-26,2021,5,8.433,8.4482,26,8.372585714285714,8.3947
109,2021-05-27,2021,5,8.4323,8.4475,27,8.384785714285714,8.433
110,2021-05-28,2021,5,8.5496,8.5651,28,8.41642857142857,8.4323
111,2021-05-31,2021,5,8.499,8.5143,31,8.435014285714285,8.5496
112,2021-06-01,2021,6,8.5032,8.5185,1,8.456128571428572,8.499
113,2021-06-02,2021,6,8.6066,8.6221,2,8.488342857142857,8.5032
114,2021-06-03,2021,6,8.6231,8.6387,3,8.520971428571428,8.6066
115,2021-06-04,2021,6,8.682,8.6976,4,8.556542857142857,8.6231
116,2021-06-07,2021,6,8.6201,8.6356,7,8.583371428571429,8.682
117,2021-06-08,2021,6,8.5891,8.6046,8,8.589014285714287,8.6201
118,2021-06-09,2021,6,8.575,8.5904,9,8.59987142857143,8.5891
119,2021-06-10,2021,6,8.5313,8.5467,10,8.603885714285715,8.575
120,2021-06-11,2021,6,8.3547,8.3697,11,8.5679,8.5313
121,2021-06-14,2021,6,8.3374,8.3524,14,8.527085714285715,8.3547
122,2021-06-15,2021,6,8.5474,8.5628,15,8.507857142857143,8.3374
123,2021-06-16,2021,6,8.5218,8.5371,16,8.493814285714285,8.5474
124,2021-06-17,2021,6,8.6243,8.6398,17,8.498842857142858,8.5218
125,2021-06-18,2021,6,8.6646,8.6802,18,8.511642857142858,8.6243
126,2021-06-21,2021,6,8.7497,8.7655,21,8.542842857142857,8.6646
127,2021-06-22,2021,6,8.7202,8.7359,22,8.595057142857142,8.7497
