,Tarih,Yıl,Ay,Alış (Forex),Satış (Forex),Gun,Haftalik_Ortalama,Onceki_Gun_Fiyat
0,2020-12-15,2020,12,9.5184,9.5355,15,9.519342857142858,9.5624
1,2020-12-16,2020,12,9.4908,9.5079,16,9.519271428571429,9.5184
2,2020-12-17,2020,12,9.4817,9.4988,17,9.522085714285714,9.4908
3,2020-12-18,2020,12,9.423,9.44,18,9.513371428571428,9.4817
4,2020-12-21,2020,12,9.3504,9.3672,21,9.492971428571428,9.423
5,2020-12-22,2020,12,9.3347,9.3515,22,9.451628571428571,9.3504
6,2020-12-23,2020,12,9.303,9.3197,23,9.41457142857143,9.3347
7,2020-12-24,2020,12,9.2948,9.3116,24,9.382628571428572,9.303
8,2020-12-25,2020,12,9.2037,9.2203,25,9.341614285714286,9.2948
9,2020-12-28,2020,12,9.137,9.1535,28,9.292371428571428,9.2037
10,2020-12-29,2020,12,9.0697,9.0861,29,9.2419,9.137
11,2020-12-30,2020,12,9.0079,9.0241,30,9.192971428571427,9.0697
12,2020-12-31,2020,12,9.1164,9.1329,31,9.161785714285713,9.0079
13,2021-01-04,2021,1,9.0382,9.0545,4,9.123957142857142,9.1164
14,2021-01-05,2021,1,9.0656,9.082,5,9.091214285714285,9.0382
15,2021-01-06,2021,1,9.0397,9.056,6,9.067785714285714,9.0656
16,2021-01-07,2021,1,8.9342,8.9503,7,9.038814285714285,9.0397
17,2021-01-08,2021,1,8.9968,9.013,8,9.0284,8.9342
18,2021-01-11,2021,1,9.0629,9.0792,11,9.036257142857142,8.9968
19,2021-01-12,2021,1,9.0693,9.0856,12,9.029528571428571,9.0629
20,2021-01-13,2021,1,9.0552,9.0715,13,9.031957142857141,9.0693
21,2021-01-14,2021,1,8.9815,8.9976,14,9.019942857142857,9.0552
22,2021-01-15,2021,1,8.9635,8.9797,15,9.009057142857143,8.9815
23,2021-01-18,2021,1,9.0457,9.062,18,9.024985714285714,8.9635
24,2021-01-19,2021,1,9.0235,9.0397,19,9.0288,9.0457
25,2021-01-20,2021,1,9.0232,9.0394,20,9.023128571428572,9.0235
26,2021-01-21,2021,1,8.9597,8.9759,21,9.00747142857143,9.0232
27,2021-01-22,2021,1,9.0044,9.0206,22,9.000214285714287,8.9597
28,2021-01-25,2021,1,8.9778,8.9939,25,8.999685714285715,9.0044
29,2021-01-26,2021,1,8.955,8.9711,26,8.99847142857143,8.9778
30,2021-01-27,2021,1,8.9276,8.9437,27,8.9816,8.955
31,2021-01-28,2021,1,8.9216,8.9377,28,8.967042857142857,8.9276
32,2021-01-29,2021,1,8.8718,8.8878,29,8.945414285714286,8.9216
33,2021-02-01,2021,2,8.7345,8.7502,1,8.913242857142858,8.8718
34,2021-02-02,2021,2,8.607,8.6225,2,8.856471428571428,8.7345
35,2021-02-03,2021,2,8.5995,8.615,3,8.802428571428573,8.607
36,2021-02-04,2021,2,8.5559,8.5713,4,8.745414285714286,8.5995
37,2021-02-05,2021,2,8.4764,8.4916,5,8.680957142857142,8.5559
38,2021-02-08,2021,2,8.5036,8.5189,8,8.621242857142857,8.4764
39,2021-02-09,2021,2,8.5664,8.5818,9,8.577614285714287,8.5036
40,2021-02-10,2021,2,8.5517,8.5671,10,8.5515,8.5664
41,2021-02-11,2021,2,8.5374,8.5527,11,8.541557142857144,8.5517
42,2021-02-12,2021,2,8.4977,8.513,12,8.527014285714285,8.5374
43,2021-02-15,2021,2,8.4607,8.476,15,8.513414285714287,8.4977
44,2021-02-16,2021,2,8.4026,8.4177,16,8.502871428571428,8.4607
45,2021-02-17,2021,2,8.4558,8.471,17,8.496042857142857,8.4026
46,2021-02-18,2021,2,8.3867,8.4019,18,8.470371428571427,8.4558
47,2021-02-19,2021,2,8.4407,8.456,19,8.454514285714286,8.3867
48,2021-02-22,2021,2,8.475,8.4903,22,8.445599999999999,8.4407
49,2021-02-23,2021,2,8.5418,8.5572,23,8.4519,8.475
50,2021-02-24,2021,2,8.6774,8.693,24,8.482857142857142,8.5418
