,Tarih,Deger,Yil,Ay,Gun,HaftaninGunu,Dunku_Deger
1,2020-12-09,18.565,2020,12,9,2,18.337
2,2020-12-10,18.262,2020,12,10,3,18.565
3,2020-12-11,18.058,2020,12,11,4,18.262
4,2020-12-12,18.807,2020,12,12,5,18.058
5,2020-12-13,19.151,2020,12,13,6,18.807
6,2020-12-14,19.26,2020,12,14,0,19.151
7,2020-12-15,19.432,2020,12,15,1,19.26
8,2020-12-16,21.318,2020,12,16,2,19.432
9,2020-12-17,22.806,2020,12,17,3,21.318
10,2020-12-18,23.121,2020,12,18,4,22.806
11,2020-12-19,23.864,2020,12,19,5,23.121
12,2020-12-20,23.518,2020,12,20,6,23.864
13,2020-12-21,22.841,2020,12,21,0,23.518
14,2020-12-22,23.795,2020,12,22,1,22.841
15,2020-12-23,23.308,2020,12,23,2,23.795
16,2020-12-24,23.76,2020,12,24,3,23.308
17,2020-12-25,24.671,2020,12,25,4,23.76
18,2020-12-26,26.476,2020,12,26,5,24.671
19,2020-12-27,26.423,2020,12,27,6,26.476
20,2020-12-28,27.125,2020,12,28,0,26.423
21,2020-12-29,27.425,2020,12,29,1,27.125
22,2020-12-30,28.837,2020,12,30,2,27.425
23,2020-12-31,29.022,2020,12,31,3,28.837
24,2021-01-01,29.352,2021,1,1,4,29.022
25,2021-01-02,32.164,2021,1,2,5,29.352
26,2021-01-03,33.008,2021,1,3,6,32.164
27,2021-01-04,31.516,2021,1,4,0,33.008
28,2021-01-05,34.082,2021,1,5,1,31.516
29,2021-01-06,36.934,2021,1,6,2,34.082
30,2021-01-07,39.547,2021,1,7,3,36.934
31,2021-01-08,40.816,2021,1,8,4,39.547
32,2021-01-09,40.297,2021,1,9,5,40.816
33,2021-01-10,38.398,2021,1,10,6,40.297
34,2021-01-11,35.67,2021,1,11,0,38.398
35,2021-01-12,33.938,2021,1,12,1,35.67
36,2021-01-13,37.456,2021,1,13,2,33.938
37,2021-01-14,39.233,2021,1,14,3,37.456
38,2021-01-15,36.788,2021,1,15,4,39.233
39,2021-01-16,36.255,2021,1,16,5,36.788
40,2021-01-17,35.804,2021,1,17,6,36.255
41,2021-01-18,36.595,2021,1,18,0,35.804
42,2021-01-19,36.105,2021,1,19,1,36.595
43,2021-01-20,35.587,2021,1,20,2,36.105
44,2021-01-21,30.914,2021,1,21,3,35.587
45,2021-01-22,32.958,2021,1,22,4,30.914
46,2021-01-23,32.068,2021,1,23,5,32.958
47,2021-01-24,32.274,2021,1,24,6,32.068
48,2021-01-25,32.375,2021,1,25,0,32.274
49,2021-01-26,32.582,2021,1,26,1,32.375
50,2021-01-27,30.446,2021,1,27,2,32.582
51,2021-01-28,33.128,2021,1,28,3,30.446
52,2021-01-29,34.151,2021,1,29,4,33.128
53,2021-01-30,34.2,2021,1,30,5,34.151
54,2021-01-31,33.065,2021,1,31,6,34.2
55,2021-02-01,33.406,2021,2,1,0,33.065
56,2021-02-02,35.486,2021,2,2,1,33.406
57,2021-02-03,37.495,2021,2,3,2,35.486
58,2021-02-04,36.817,2021,2,4,3,37.495
59,2021-02-05,38.008,2021,2,5,4,36.817
60,2021-02-06,39.279,2021,2,6,5,38.008
61,2021-02-07,38.833,2021,2,7,6,39.279
62,2021-02-08,46.308,2021,2,8,0,38.833
63,2021-02-09,46.57,2021,2,9,1,46.308
64,2021-02-10,44.849,2021,2,10,2,46.57
65,2021-02-11,47.816,2021,2,11,3,44.849
66,2021-02-12,47.414,2021,2,12,4,47.816
67,2021-02-13,46.941,2021,2,13,5,47.414
68,2021-02-14,48.608,2021,2,14,6,46.941
69,2021-02-15,47.898,2021,2,15,0,48.608
70,2021-02-16,49.238,2021,2,16,1,47.898
71,2021-02-17,52.144,2021,2,17,2,49.238
72,2021-02-18,51.733,2021,2,18,3,52.144
73,2021-02-19,56.039,2021,2,19,4,51.733
74,2021-02-20,56.378,2021,2,20,5,56.039
75,2021-02-21,57.669,2021,2,21,6,56.378
76,2021-02-22,54.411,2021,2,22,0,57.669
77,2021-02-23,48.692,2021,2,23,1,54.411
78,2021-02-24,49.849,2021,2,24,2,48.692
79,2021-02-25,46.993,2021,2,25,3,49.849
80,2021-02-26,46.551,2021,2,26,4,46.993
81,2021-02-27,46.654,2021,2,27,5,46.551
82,2021-02-28,44.97,2021,2,28,6,46.654
83,2021-03-01,49.787,2021,3,1,0,44.97
84,2021-03-02,48.532,2021,3,2,1,49.787
85,2021-03-03,50.577,2021,3,3,2,48.532
86,2021-03-04,48.727,2021,3,4,3,50.577
87,2021-03-05,49.092,2021,3,5,4,48.727
88,2021-03-06,49.019,2021,3,6,5,49.092
89,2021-03-07,51.313,2021,3,7,6,49.019
90,2021-03-08,52.329,2021,3,8,0,51.313
91,2021-03-09,54.7,2021,3,9,1,52.329
92,2021-03-10,56.02,2021,3,10,2,54.7
93,2021-03-11,57.789,2021,3,11,3,56.02
94,2021-03-12,57.354,2021,3,12,4,57.789
95,2021-03-13,61.315,2021,3,13,5,57.354
96,2021-03-14,59.429,2021,3,14,6,61.315
97,2021-03-15,55.805,2021,3,15,0,59.429
98,2021-03-16,56.83,2021,3,16,1,55.805
99,2021-03-17,59.015,2021,3,17,2,56.83
100,2021-03-18,57.922,2021,3,18,3,59.015
101,2021-03-19,58.243,2021,3,19,4,57.922
102,2021-03-20,58.376,2021,3,20,5,58.243
103,2021-03-21,57.574,2021,3,21,6,58.376
104,2021-03-22,54.37,2021,3,22,0,57.574
105,2021-03-23,54.585,2021,3,23,1,54.37
106,2021-03-24,52.527,2021,3,24,2,54.585
107,2021-03-25,51.417,2021,3,25,3,52.527
108,2021-03-26,55.033,2021,3,26,4,51.417
109,2021-03-27,55.832,2021,3,27,5,55.033
110,2021-03-28,55.728,2021,3,28,6,55.832
111,2021-03-29,57.635,2021,3,29,0,55.728
112,2021-03-30,58.669,2021,3,30,1,57.635
113,2021-03-31,58.817,2021,3,31,2,58.669
114,2021-04-01,58.801,2021,4,1,3,58.817
115,2021-04-02,59.06,2021,4,2,4,58.801
116,2021-04-03,57.06,2021,4,3,5,59.06
117,2021-04-04,58.229,2021,4,4,6,57.06
118,2021-04-05,58.707,2021,4,5,0,58.229
119,2021-04-06,58.062,2021,4,6,1,58.707
120,2021-04-07,56.134,2021,4,7,2,58.062
121,2021-04-08,58.066,2021,4,8,3,56.134
122,2021-04-09,58.153,2021,4,9,4,58.066
123,2021-04-10,59.979,2021,4,10,5,58.153
124,2021-04-11,59.988,2021,4,11,6,59.979
125,2021-04-12,59.911,2021,4,12,0,59.988
126,2021-04-13,63.577,2021,4,13,1,59.911
127,2021-04-14,62.807,2021,4,14,2,63.577
128,2021-04-15,63.18,2021,4,15,3,62.807
129,2021-04-16,61.497,2021,4,16,4,63.18
130,2021-04-17,60.274,2021,4,17,5,61.497
131,2021-04-18,56.289,2021,4,18,6,60.274
132,2021-04-19,55.721,2021,4,19,0,56.289
133,2021-04-20,56.295,2021,4,20,1,55.721
134,2021-04-21,54.19,2021,4,21,2,56.295
135,2021-04-22,51.966,2021,4,22,3,54.19
136,2021-04-23,51.191,2021,4,23,4,51.966
137,2021-04-24,50.133,2021,4,24,5,51.191
138,2021-04-25,48.981,2021,4,25,6,50.133
139,2021-04-26,53.979,2021,4,26,0,48.981
140,2021-04-27,54.992,2021,4,27,1,53.979
141,2021-04-28,54.811,2021,4,28,2,54.992
142,2021-04-29,53.597,2021,4,29,3,54.811
143,2021-04-30,57.829,2021,4,30,4,53.597
144,2021-05-01,57.813,2021,5,1,5,57.829
145,2021-05-02,56.601,2021,5,2,6,57.813
146,2021-05-03,57.2,2021,5,3,0,56.601
147,2021-05-04,53.464,2021,5,4,1,57.2
148,2021-05-05,57.432,2021,5,5,2,53.464
149,2021-05-06,56.508,2021,5,6,3,57.432
150,2021-05-07,57.362,2021,5,7,4,56.508
151,2021-05-08,58.772,2021,5,8,5,57.362
152,2021-05-09,58.214,2021,5,9,6,58.772
153,2021-05-10,55.902,2021,5,10,0,58.214
154,2021-05-11,56.929,2021,5,11,1,55.902
155,2021-05-12,50.005,2021,5,12,2,56.929
156,2021-05-13,49.973,2021,5,13,3,50.005
157,2021-05-14,49.913,2021,5,14,4,49.973
158,2021-05-15,46.781,2021,5,15,5,49.913
159,2021-05-16,46.585,2021,5,16,6,46.781
160,2021-05-17,43.781,2021,5,17,0,46.585
161,2021-05-18,43.091,2021,5,18,1,43.781
162,2021-05-19,37.287,2021,5,19,2,43.091
163,2021-05-20,40.438,2021,5,20,3,37.287
164,2021-05-21,37.34,2021,5,21,4,40.438
165,2021-05-22,37.52,2021,5,22,5,37.34
166,2021-05-23,34.978,2021,5,23,6,37.52
167,2021-05-24,38.642,2021,5,24,0,34.978
168,2021-05-25,38.211,2021,5,25,1,38.642
169,2021-05-26,39.407,2021,5,26,2,38.211
170,2021-05-27,38.643,2021,5,27,3,39.407
171,2021-05-28,35.71,2021,5,28,4,38.643
172,2021-05-29,34.775,2021,5,29,5,35.71
173,2021-05-30,35.715,2021,5,30,6,34.775
174,2021-05-31,37.341,2021,5,31,0,35.715
175,2021-06-01,36.68,2021,6,1,1,37.341
176,2021-06-02,37.686,2021,6,2,2,36.68
177,2021-06-03,39.151,2021,6,3,3,37.686
178,2021-06-04,36.939,2021,6,4,4,39.151
179,2021-06-05,35.547,2021,6,5,5,36.939
180,2021-06-06,35.834,2021,6,6,6,35.547
181,2021-06-07,33.451,2021,6,7,0,35.834
182,2021-06-08,33.557,2021,6,8,1,33.451
183,2021-06-09,37.554,2021,6,9,2,33.557
184,2021-06-10,36.903,2021,6,10,3,37.554
185,2021-06-11,37.289,2021,6,11,4,36.903
186,2021-06-12,35.666,2021,6,12,5,37.289
187,2021-06-13,39.148,2021,6,13,6,35.666
188,2021-06-14,40.625,2021,6,14,0,39.148
189,2021-06-15,40.378,2021,6,15,1,40.625
190,2021-06-16,38.321,2021,6,16,2,40.378
191,2021-06-17,38.194,2021,6,17,3,38.321
192,2021-06-18,35.881,2021,6,18,4,38.194
193,2021-06-19,35.582,2021,6,19,5,35.881
194,2021-06-20,35.787,2021,6,20,6,35.582
195,2021-06-21,31.712,2021,6,21,0,35.787
196,2021-06-22,32.508,2021,6,22,1,31.712
197,2021-06-23,33.703,2021,6,23,2,32.508
198,2021-06-24,34.675,2021,6,24,3,33.703
199,2021-06-25,31.943,2021,6,25,4,34.675
200,2021-06-26,32.024,2021,6,26,5,31.943
201,2021-06-27,34.607,2021,6,27,6,32.024
202,2021-06-28,34.557,2021,6,28,0,34.607
203,2021-06-29,35.969,2021,6,29,1,34.557
204,2021-06-30,35.171,2021,6,30,2,35.969
205,2021-07-01,33.678,2021,7,1,3,35.171
206,2021-07-02,33.951,2021,7,2,4,33.678
207,2021-07-03,34.73,2021,7,3,5,33.951
208,2021-07-04,35.394,2021,7,4,6,34.73
209,2021-07-05,33.928,2021,7,5,0,35.394
210,2021-07-06,34.15,2021,7,6,1,33.928
211,2021-07-07,33.932,2021,7,7,2,34.15
212,2021-07-08,32.934,2021,7,8,3,33.932
213,2021-07-09,33.971,2021,7,9,4,32.934
214,2021-07-10,33.705,2021,7,10,5,33.971
215,2021-07-11,34.3,2021,7,11,6,33.705
216,2021-07-12,33.263,2021,7,12,0,34.3
217,2021-07-13,32.676,2021,7,13,1,33.263
218,2021-07-14,32.879,2021,7,14,2,32.676
219,2021-07-15,31.726,2021,7,15,3,32.879
220,2021-07-16,31.4,2021,7,16,4,31.726
221,2021-07-17,31.589,2021,7,17,5,31.4
222,2021-07-18,31.919,2021,7,18,6,31.589
223,2021-07-19,30.928,2021,7,19,0,31.919
224,2021-07-20,29.972,2021,7,20,1,30.928
225,2021-07-21,32.384,2021,7,21,2,29.972
226,2021-07-22,32.409,2021,7,22,3,32.384
227,2021-07-23,33.456,2021,7,23,4,32.409
228,2021-07-24,34.214,2021,7,24,5,33.456
229,2021-07-25,35.456,2021,7,25,6,34.214
230,2021-07-26,37.282,2021,7,26,0,35.456
231,2021-07-27,39.077,2021,7,27,1,37.282
