Tarih,Deger
 8 Aralık 2020,$18.337
 9 Aralık 2020,$18.565
10 Aralık 2020,$18.262
11 Aralık 2020,$18.058
12 Aralık 2020,$18.807
13 Aralık 2020,$19.151
14 Aralık 2020,$19.260
15 Aralık 2020,$19.432
16 Aralık 2020,$21.318
17 Aralık 2020,$22.806
18 Aralık 2020,$23.121
19 Aralık 2020,$23.864
20 Aralık 2020,$23.518
21 Aralık 2020,$22.841
22 Aralık 2020,$23.795
23 Aralık 2020,$23.308
24 Aralık 2020,$23.760
25 Aralık 2020,$24.671
26 Aralık 2020,$26.476
27 Aralık 2020,$26.423
28 Aralık 2020,$27.125
29 Aralık 2020,$27.425
30 Aralık 2020,$28.837
31 Aralık 2020,$29.022
 1 Ocak 2021,$29.352
 2 Ocak 2021,$32.164
 3 Ocak 2021,$33.008
 4 Ocak 2021,$31.516
 5 Ocak 2021,$34.082
 6 Ocak 2021,$36.934
 7 Ocak 2021,$39.547
 8 Ocak 2021,$40.816
 9 Ocak 2021,$40.297
10 Ocak 2021,$38.398
11 Ocak 2021,$35.670
12 Ocak 2021,$33.938
13 Ocak 2021,$37.456
14 Ocak 2021,$39.233
15 Ocak 2021,$36.788
16 Ocak 2021,$36.255
17 Ocak 2021,$35.804
18 Ocak 2021,$36.595
19 Ocak 2021,$36.105
20 Ocak 2021,$35.587
21 Ocak 2021,$30.914
22 Ocak 2021,$32.958
23 Ocak 2021,$32.068
24 Ocak 2021,$32.274
25 Ocak 2021,$32.375
26 Ocak 2021,$32.582
27 Ocak 2021,$30.446
28 Ocak 2021,$33.128
29 Ocak 2021,$34.151
30 Ocak 2021,$34.200
31 Ocak 2021,$33.065
 1 Şubat 2021,$33.406
 2 Şubat 2021,$35.486
 3 Şubat 2021,$37.495
 4 Şubat 2021,$36.817
 5 Şubat 2021,$38.008
 6 Şubat 2021,$39.279
 7 Şubat 2021,$38.833
 8 Şubat 2021,$46.308
 9 Şubat 2021,$46.570
10 Şubat 2021,$44.849
11 Şubat 2021,$47.816
12 Şubat 2021,$47.414
13 Şubat 2021,$46.941
14 Şubat 2021,$48.608
15 Şubat 2021,$47.898
16 Şubat 2021,$49.238
17 Şubat 2021,$52.144
18 Şubat 2021,$51.733
19 Şubat 2021,$56.039
20 Şubat 2021,$56.378
21 Şubat 2021,$57.669
22 Şubat 2021,$54.411
23 Şubat 2021,$48.692
24 Şubat 2021,$49.849
25 Şubat 2021,$46.993
26 Şubat 2021,$46.551
27 Şubat 2021,$46.654
28 Şubat 2021,$44.970
 1 Mart 2021,$49.787
 2 Mart 2021,$48.532
 3 Mart 2021,$50.577
 4 Mart 2021,$48.727
 5 Mart 2021,$49.092
 6 Mart 2021,$49.019
 7 Mart 2021,$51.313
 8 Mart 2021,$52.329
 9 Mart 2021,$54.700
10 Mart 2021,$56.020
11 Mart 2021,$57.789
12 Mart 2021,$57.354
13 Mart 2021,$61.315
14 Mart 2021,$59.429
15 Mart 2021,$55.805
16 Mart 2021,$56.830
17 Mart 2021,$59.015
18 Mart 2021,$57.922
19 Mart 2021,$58.243
20 Mart 2021,$58.376
21 Mart 2021,$57.574
22 Mart 2021,$54.370
23 Mart 2021,$54.585
24 Mart 2021,$52.527
25 Mart 2021,$51.417
26 Mart 2021,$55.033
