Tarih,Yıl,Ay,Birim,Alış (Forex),Satış (Forex)
2020-12-07,2020,12,Euro (EUR),9.4913,9.5084
2020-12-08,2020,12,Euro (EUR),9.462,9.479
2020-12-09,2020,12,Euro (EUR),9.484,9.5011
2020-12-10,2020,12,Euro (EUR),9.4932,9.5103
2020-12-11,2020,12,Euro (EUR),9.6241,9.6414
2020-12-14,2020,12,Euro (EUR),9.5624,9.5797
2020-12-15,2020,12,Euro (EUR),9.5184,9.5355
2020-12-16,2020,12,Euro (EUR),9.4908,9.5079
2020-12-17,2020,12,Euro (EUR),9.4817,9.4988
2020-12-18,2020,12,Euro (EUR),9.423,9.44
2020-12-21,2020,12,Euro (EUR),9.3504,9.3672
2020-12-22,2020,12,Euro (EUR),9.3347,9.3515
2020-12-23,2020,12,Euro (EUR),9.303,9.3197
2020-12-24,2020,12,Euro (EUR),9.2948,9.3116
2020-12-25,2020,12,Euro (EUR),9.2037,9.2203
2020-12-28,2020,12,Euro (EUR),9.137,9.1535
2020-12-29,2020,12,Euro (EUR),9.0697,9.0861
2020-12-30,2020,12,Euro (EUR),9.0079,9.0241
2020-12-31,2020,12,Euro (EUR),9.1164,9.1329
2021-01-04,2021,1,Euro (EUR),9.0382,9.0545
2021-01-05,2021,1,Euro (EUR),9.0656,9.082
2021-01-06,2021,1,Euro (EUR),9.0397,9.056
2021-01-07,2021,1,Euro (EUR),8.9342,8.9503
2021-01-08,2021,1,Euro (EUR),8.9968,9.013
2021-01-11,2021,1,Euro (EUR),9.0629,9.0792
2021-01-12,2021,1,Euro (EUR),9.0693,9.0856
2021-01-13,2021,1,Euro (EUR),9.0552,9.0715
2021-01-14,2021,1,Euro (EUR),8.9815,8.9976
2021-01-15,2021,1,Euro (EUR),8.9635,8.9797
2021-01-18,2021,1,Euro (EUR),9.0457,9.062
2021-01-19,2021,1,Euro (EUR),9.0235,9.0397
2021-01-20,2021,1,Euro (EUR),9.0232,9.0394
2021-01-21,2021,1,Euro (EUR),8.9597,8.9759
2021-01-22,2021,1,Euro (EUR),9.0044,9.0206
2021-01-25,2021,1,Euro (EUR),8.9778,8.9939
2021-01-26,2021,1,Euro (EUR),8.955,8.9711
2021-01-27,2021,1,Euro (EUR),8.9276,8.9437
2021-01-28,2021,1,Euro (EUR),8.9216,8.9377
2021-01-29,2021,1,Euro (EUR),8.8718,8.8878
2021-02-01,2021,2,Euro (EUR),8.7345,8.7502
2021-02-02,2021,2,Euro (EUR),8.607,8.6225
2021-02-03,2021,2,Euro (EUR),8.5995,8.615
2021-02-04,2021,2,Euro (EUR),8.5559,8.5713
2021-02-05,2021,2,Euro (EUR),8.4764,8.4916
2021-02-08,2021,2,Euro (EUR),8.5036,8.5189
2021-02-09,2021,2,Euro (EUR),8.5664,8.5818
2021-02-10,2021,2,Euro (EUR),8.5517,8.5671
2021-02-11,2021,2,Euro (EUR),8.5374,8.5527
2021-02-12,2021,2,Euro (EUR),8.4977,8.513
2021-02-15,2021,2,Euro (EUR),8.4607,8.476
2021-02-16,2021,2,Euro (EUR),8.4026,8.4177
2021-02-17,2021,2,Euro (EUR),8.4558,8.471
2021-02-18,2021,2,Euro (EUR),8.3867,8.4019
2021-02-19,2021,2,Euro (EUR),8.4407,8.456
2021-02-22,2021,2,Euro (EUR),8.475,8.4903
2021-02-23,2021,2,Euro (EUR),8.5418,8.5572
2021-02-24,2021,2,Euro (EUR),8.6774,8.693
2021-02-25,2021,2,Euro (EUR),8.7811,8.7969
2021-02-26,2021,2,Euro (EUR),8.942,8.9581
2021-03-01,2021,3,Euro (EUR),8.8059,8.8217
2021-03-02,2021,3,Euro (EUR),8.7855,8.8013
2021-03-03,2021,3,Euro (EUR),8.8679,8.8839
2021-03-04,2021,3,Euro (EUR),8.9768,8.993
2021-03-05,2021,3,Euro (EUR),8.9643,8.9804
2021-03-08,2021,3,Euro (EUR),9.0208,9.0371
2021-03-09,2021,3,Euro (EUR),9.0851,9.1015
2021-03-10,2021,3,Euro (EUR),9.0315,9.0477
2021-03-11,2021,3,Euro (EUR),8.8995,8.9155
2021-03-12,2021,3,Euro (EUR),9.0326,9.0489
2021-03-15,2021,3,Euro (EUR),8.9912,9.0073
2021-03-16,2021,3,Euro (EUR),8.954,8.9702
2021-03-17,2021,3,Euro (EUR),8.9242,8.9402
2021-03-18,2021,3,Euro (EUR),8.9113,8.9274
2021-03-19,2021,3,Euro (EUR),8.6566,8.6722
2021-03-22,2021,3,Euro (EUR),9.4069,9.4239
2021-03-23,2021,3,Euro (EUR),9.2902,9.307
2021-03-24,2021,3,Euro (EUR),9.4257,9.4427
2021-03-25,2021,3,Euro (EUR),9.3778,9.3947
2021-03-26,2021,3,Euro (EUR),9.415,9.4319
2021-03-29,2021,3,Euro (EUR),9.5618,9.579
2021-03-30,2021,3,Euro (EUR),9.7741,9.7917
2021-03-31,2021,3,Euro (EUR),9.7688,9.7864
2021-04-01,2021,4,Euro (EUR),9.5898,9.6071
