,Tarih,Acilis,Kapanis,Yil,Ay,Gun,HaftaninGunu,Dunku_Kapanis
1,2020-12-08,468.0,470.31,2020,12,8,1,468.03
2,2020-12-09,467.58,462.15,2020,12,9,2,470.31
3,2020-12-10,462.52,465.7,2020,12,10,3,462.15
4,2020-12-11,465.67,463.62,2020,12,11,4,465.7
5,2020-12-12,465.63,463.62,2020,12,12,5,463.62
6,2020-12-14,464.2,461.52,2020,12,14,0,463.62
7,2020-12-15,461.7,467.22,2020,12,15,1,461.52
8,2020-12-16,467.22,467.63,2020,12,16,2,467.22
9,2020-12-17,467.82,466.69,2020,12,17,3,467.63
10,2020-12-18,466.85,463.26,2020,12,18,4,466.69
11,2020-12-19,466.85,461.81,2020,12,19,5,463.26
12,2020-12-21,463.09,460.9,2020,12,21,0,461.81
13,2020-12-22,460.9,458.32,2020,12,22,1,460.9
14,2020-12-23,458.16,460.06,2020,12,23,2,458.32
15,2020-12-24,459.97,458.41,2020,12,24,3,460.06
16,2020-12-25,456.99,458.44,2020,12,25,4,458.41
17,2020-12-28,459.25,448.13,2020,12,28,0,458.44
18,2020-12-29,448.17,446.8,2020,12,29,1,448.13
19,2020-12-30,446.8,449.54,2020,12,30,2,446.8
20,2020-12-31,449.48,454.36,2020,12,31,3,449.54
21,2021-01-01,454.37,452.92,2021,1,1,4,454.36
22,2021-01-04,455.69,463.79,2021,1,4,0,452.92
23,2021-01-05,463.9,462.98,2021,1,5,1,463.79
24,2021-01-06,463.05,450.65,2021,1,6,2,462.98
25,2021-01-07,450.75,452.05,2021,1,7,3,450.65
26,2021-01-08,452.25,438.05,2021,1,8,4,452.05
27,2021-01-09,452.23,438.05,2021,1,9,5,438.05
28,2021-01-11,437.71,443.93,2021,1,11,0,438.05
29,2021-01-12,444.05,444.83,2021,1,12,1,443.93
30,2021-01-13,444.96,439.96,2021,1,13,2,444.83
31,2021-01-14,440.04,437.19,2021,1,14,3,439.96
32,2021-01-15,437.33,437.79,2021,1,15,4,437.19
33,2021-01-16,437.38,437.79,2021,1,16,5,437.79
34,2021-01-18,438.17,441.47,2021,1,18,0,437.79
35,2021-01-19,441.89,441.82,2021,1,19,1,441.47
36,2021-01-20,441.79,446.08,2021,1,20,2,441.82
37,2021-01-21,446.06,442.71,2021,1,21,3,446.08
38,2021-01-22,442.87,441.78,2021,1,22,4,442.71
39,2021-01-23,442.87,441.78,2021,1,23,5,441.78
40,2021-01-25,442.35,442.12,2021,1,25,0,441.78
41,2021-01-26,442.0,437.17,2021,1,26,1,442.12
42,2021-01-27,437.14,438.79,2021,1,27,2,437.17
43,2021-01-28,438.8,434.3,2021,1,28,3,438.79
44,2021-01-29,434.29,433.5,2021,1,29,4,434.3
45,2021-01-30,434.29,433.5,2021,1,30,5,433.5
46,2021-02-01,435.86,429.53,2021,2,1,0,433.5
47,2021-02-02,429.67,424.97,2021,2,2,1,429.53
48,2021-02-03,424.94,422.1,2021,2,3,2,424.97
49,2021-02-04,422.02,411.49,2021,2,4,3,422.1
50,2021-02-05,411.67,411.1,2021,2,5,4,411.49
51,2021-02-06,411.65,411.1,2021,2,6,5,411.1
52,2021-02-08,411.76,416.44,2021,2,8,0,411.1
53,2021-02-09,416.47,417.37,2021,2,9,1,416.44
54,2021-02-10,417.28,418.17,2021,2,10,2,417.37
55,2021-02-11,418.23,412.58,2021,2,11,3,418.17
56,2021-02-12,412.49,412.01,2021,2,12,4,412.58
57,2021-02-13,412.52,412.01,2021,2,13,5,412.01
58,2021-02-15,412.47,406.98,2021,2,15,0,412.01
59,2021-02-16,407.18,403.64,2021,2,16,1,406.98
60,2021-02-17,403.71,397.46,2021,2,17,2,403.64
61,2021-02-18,397.44,397.42,2021,2,18,3,397.46
62,2021-02-19,397.5,399.99,2021,2,19,4,397.42
63,2021-02-20,397.5,400.0,2021,2,20,5,399.99
64,2021-02-22,400.14,408.24,2021,2,22,0,400.0
65,2021-02-23,408.11,412.41,2021,2,23,1,408.24
66,2021-02-24,412.41,415.55,2021,2,24,2,412.41
67,2021-02-25,415.64,418.42,2021,2,25,3,415.55
68,2021-02-26,418.58,412.18,2021,2,26,4,418.42
69,2021-02-27,418.54,412.22,2021,2,27,5,412.18
70,2021-03-01,412.99,404.38,2021,3,1,0,412.22
71,2021-03-02,404.3,410.11,2021,3,2,1,404.38
